customer_id,gender,age,anual_income,customer_score,cost_to_contact
135,Male,20.0,73.0,5.0,1
139,Male,19.0,74.0,10.0,1
137,Female,44.0,73.0,7.0,1
64,Female,54.0,47.0,59.0,1
9,Male,64.0,19.0,3.0,1
143,Female,28.0,76.0,40.0,1
180,Male,,93.0,90.0,1
81,Male,57.0,54.0,51.0,1
173,Male,36.0,87.0,10.0,1
17,Female,35.0,21.0,35.0,1
15,Male,37.0,20.0,13.0,1
101,Female,23.0,62.0,41.0,1
146,Male,28.0,77.0,97.0,1
124,Male,39.0,69.0,91.0,1
155,Female,47.0,78.0,16.0,1
164,Female,31.0,,93.0,1
21,Male,35.0,24.0,35.0,1
3,Female,20.0,16.0,6.0,1
10,Female,30.0,19.0,72.0,1
92,Male,18.0,59.0,41.0,1
154,Female,38.0,78.0,76.0,1
34,Male,18.0,33.0,92.0,1
102,Female,49.0,62.0,48.0,1
85,Female,21.0,54.0,57.0,1
77,Female,45.0,54.0,53.0,1
55,Female,50.0,43.0,45.0,1
39,Female,36.0,37.0,,1
13,Female,58.0,20.0,15.0,1
162,Female,29.0,79.0,83.0,1
126,Female,31.0,70.0,77.0,1
65,Male,63.0,48.0,51.0,1
133,Female,25.0,72.0,34.0,1
74,Female,60.0,50.0,56.0,1
197,Female,45.0,,28.0,1
187,Female,54.0,101.0,24.0,1
43,Male,48.0,39.0,36.0,1
109,Male,68.0,63.0,43.0,1
104,Male,26.0,62.0,55.0,1
175,Female,52.0,88.0,13.0,1
131,Male,47.0,71.0,9.0,1
172,Male,28.0,87.0,75.0,1
30,Female,23.0,29.0,87.0,1
117,Female,63.0,65.0,43.0,1
89,Female,34.0,58.0,60.0,1
114,Male,19.0,64.0,46.0,1
51,Female,49.0,42.0,52.0,1
130,Male,38.0,71.0,75.0,1
22,Male,25.0,24.0,73.0,1
116,Female,19.0,65.0,50.0,1
182,Female,32.0,97.0,86.0,1
166,Female,36.0,85.0,75.0,1
127,Male,43.0,71.0,35.0,1
100,Male,20.0,61.0,49.0,1
108,Male,54.0,63.0,46.0,1
40,,20.0,37.0,75.0,1
176,Female,30.0,88.0,86.0,1
153,Female,44.0,,20.0,1
99,Male,48.0,61.0,42.0,1
36,Female,21.0,33.0,81.0,1
6,Female,22.0,17.0,76.0,1
54,Male,59.0,43.0,60.0,1
88,Female,22.0,57.0,55.0,1
1,Male,19.0,15.0,39.0,1
49,Female,29.0,40.0,42.0,1
122,Female,38.0,67.0,40.0,1
150,Male,34.0,78.0,90.0,1
87,Female,55.0,57.0,58.0,1
151,Male,43.0,78.0,17.0,1
160,Female,30.0,78.0,73.0,1
125,Female,23.0,70.0,29.0,1
56,Male,47.0,43.0,41.0,1
110,Male,66.0,63.0,,1
4,Female,23.0,16.0,,1
152,Male,39.0,78.0,88.0,1
138,Male,32.0,73.0,73.0,1
111,Male,65.0,63.0,52.0,1
26,Male,29.0,,82.0,1
94,Female,40.0,60.0,40.0,1
174,Male,36.0,87.0,92.0,1
167,Male,42.0,86.0,20.0,1
75,Male,59.0,54.0,47.0,1
198,,32.0,126.0,74.0,1
66,Male,18.0,48.0,59.0,1
120,Female,50.0,67.0,57.0,1
28,Male,35.0,28.0,61.0,1
95,Female,32.0,60.0,42.0,1
31,Male,60.0,30.0,4.0,1
161,Female,56.0,79.0,35.0,1
129,Male,59.0,71.0,11.0,1
19,Male,52.0,23.0,29.0,1
169,Female,36.0,87.0,27.0,1
147,Male,48.0,77.0,36.0,1
128,Male,40.0,71.0,95.0,1
148,Female,32.0,77.0,74.0,1
144,Female,32.0,76.0,87.0,1
25,Female,54.0,28.0,14.0,1
194,Female,38.0,113.0,91.0,1
59,Female,27.0,,51.0,1
156,Female,27.0,78.0,89.0,1
185,Female,41.0,99.0,39.0,1
118,Female,49.0,65.0,59.0,1
141,Female,57.0,75.0,5.0,1
195,Female,47.0,120.0,16.0,1
72,Female,47.0,49.0,42.0,1
140,Female,35.0,74.0,72.0,1
16,Male,22.0,20.0,79.0,1
103,Male,67.0,62.0,59.0,1
142,Male,32.0,75.0,93.0,1
93,Male,48.0,60.0,49.0,1
192,Female,32.0,103.0,69.0,1
11,Male,67.0,19.0,14.0,1
149,Female,34.0,78.0,22.0,1
123,Female,40.0,69.0,58.0,1
84,Female,46.0,54.0,44.0,1
8,Female,23.0,18.0,94.0,1
29,Female,40.0,29.0,31.0,1
70,Female,32.0,48.0,47.0,1
158,Female,30.0,78.0,78.0,1
47,Female,50.0,40.0,55.0,1
27,Female,45.0,28.0,32.0,1
136,Female,29.0,73.0,88.0,1
83,Male,67.0,54.0,41.0,1
184,Female,29.0,98.0,88.0,1
73,Female,60.0,50.0,49.0,1
159,Male,34.0,78.0,1.0,1
63,Female,67.0,47.0,52.0,1
171,Male,40.0,87.0,13.0,1
33,Male,53.0,33.0,4.0,1
12,Female,,19.0,99.0,1
58,Male,69.0,44.0,46.0,1
69,Male,19.0,48.0,59.0,1
76,Male,26.0,54.0,54.0,1
132,Male,39.0,71.0,75.0,1
82,Male,38.0,54.0,55.0,1
52,Male,33.0,42.0,60.0,1
